Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
De Rijd 124,Leeuwarden,349500.0,158.0,143.0,2006.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,56.65
Eisingalaan 11,Almelo,925000.0,593.0,226.0,2020.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7,1 badkamer en 2 aparte toiletten,3 woonlagen,A+++,"Aan park, in woonwijk en vrij uitzicht",Tuin rondom,29.21
Garderenseweg 162,Putten,498000.0,1040.0,84.0,1930.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,1 badkamer,2 woonlagen,G,Buiten bebouwde kom en open ligging,Tuin rondom,3.0
Hoofschestraat 35,Grave,335000.0,81.0,135.0,1978.0,Bestaande bouw,"Herenhuis, geschakelde woning (split-level woning)",Schilddak bedekt met pannen,4,2 badkamers,"3 woonlagen, een zolder en een kelder",B,In centrum,Patio/atrium,16.0
Schuttersstraat 26,Linne,200000.0,165.0,100.0,1951.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",D,Aan rustige weg en in woonwijk,Achtertuin,36.1
Burgemeester Jaslaan 30,Dordrecht,575000.0,211.0,93.0,1924.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,C,"Beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en voortuin,50.9
Bergerweg 175,Alkmaar,1995000.0,1980.0,399.0,2017.0,Bestaande bouw,"Villa, vrijstaande woning",Mansarde dak bedekt met riet,12,2 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan water, buiten bebouwde kom, landelijk gelegen en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin",2.35
Lisserdijk 524,Lisserbroek,789000.0,808.0,145.0,1929.0,Bestaande bouw,"Villa, vrijstaande woning (dijkwoning)",Samengesteld dak bedekt met pannen,4,1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",C,"Aan vaarwater, aan water, open ligging en vrij uitzicht",Tuin rondom,33.0
Oude Maasstraat 20,Uden,1475000.0,2337.0,408.0,1992.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Lessenaardak bedekt met metaal,8,2 badkamers en 1 apart toilet,2 woonlagen en een kelder,B,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom en voortuin",37.05
Rozenweg 37,Lochem,275000.0,144.0,87.0,1910.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,26.3
Westwal 91,Goes,415000.0,137.0,126.0,1899.0,Bestaande bouw,"Herenhuis, hoekwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",F,Aan park en in centrum,Achtertuin,21.35
Uiterwaard 4,Lopik,375000.0,126.0,116.0,2000.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,55.3
Gedempte Schalk Burgergracht 73,Haarlem,450000.0,129.0,107.0,1910.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4,1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,26.15
Waadse Poldergracht 49,Muiden,1050000.0,180.0,207.0,2019.0,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak,6,1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Achtertuin,14.55
